"account","period","start_date","end_date","commodity","value"
"Liquid assets","2012-01-01","2012-01-01","2012-01-01","USD","20077.70"
"Liquid assets","2012-01-02","2012-01-02","2012-01-02","USD","20077.70"
"Liquid assets","2012-01-03","2012-01-03","2012-01-03","USD","20077.70"
"Liquid assets","2012-01-04","2012-01-04","2012-01-04","USD","20073.70"
"Liquid assets","2012-01-05","2012-01-05","2012-01-05","USD","20228.92"
"Liquid assets","2012-01-06","2012-01-06","2012-01-06","USD","17828.92"
"Liquid assets","2012-01-07","2012-01-07","2012-01-07","USD","17828.92"
"Liquid assets","2012-01-08","2012-01-08","2012-01-08","USD","17623.56"
"Liquid assets","2012-01-09","2012-01-09","2012-01-09","USD","17623.56"
"Liquid assets","2012-01-10","2012-01-10","2012-01-10","USD","17623.56"
"Liquid assets","2012-01-11","2012-01-11","2012-01-11","USD","17623.56"
"Liquid assets","2012-01-12","2012-01-12","2012-01-12","USD","17623.56"
"Liquid assets","2012-01-13","2012-01-13","2012-01-13","USD","17623.56"
"Liquid assets","2012-01-14","2012-01-14","2012-01-14","USD","17623.56"
"Liquid assets","2012-01-15","2012-01-15","2012-01-15","USD","17623.56"
"Liquid assets","2012-01-16","2012-01-16","2012-01-16","USD","17623.56"
"Liquid assets","2012-01-17","2012-01-17","2012-01-17","USD","17623.56"
"Liquid assets","2012-01-18","2012-01-18","2012-01-18","USD","17623.56"
"Liquid assets","2012-01-19","2012-01-19","2012-01-19","USD","17778.78"
"Liquid assets","2012-01-20","2012-01-20","2012-01-20","USD","17778.78"
"Liquid assets","2012-01-21","2012-01-21","2012-01-21","USD","17778.78"
"Liquid assets","2012-01-22","2012-01-22","2012-01-22","USD","17698.72"
"Liquid assets","2012-01-23","2012-01-23","2012-01-23","USD","17698.72"
"Liquid assets","2012-01-24","2012-01-24","2012-01-24","USD","17698.72"
"Liquid assets","2012-01-25","2012-01-25","2012-01-25","USD","17698.72"
"Liquid assets","2012-01-26","2012-01-26","2012-01-26","USD","17698.72"
"Liquid assets","2012-01-27","2012-01-27","2012-01-27","USD","17698.72"
"Liquid assets","2012-01-28","2012-01-28","2012-01-28","USD","17698.72"
"Liquid assets","2012-01-29","2012-01-29","2012-01-29","USD","17698.72"
"Liquid assets","2012-01-30","2012-01-30","2012-01-30","USD","17698.72"
"Liquid assets","2012-01-31","2012-01-31","2012-01-31","USD","17698.72"
"Liquid assets","2012-02-01","2012-02-01","2012-02-01","USD","17698.72"
"Liquid assets","2012-02-02","2012-02-02","2012-02-02","USD","17853.94"
"Liquid assets","2012-02-03","2012-02-03","2012-02-03","USD","17853.94"
"Liquid assets","2012-02-04","2012-02-04","2012-02-04","USD","17849.94"
"Liquid assets","2012-02-05","2012-02-05","2012-02-05","USD","15449.94"
"Liquid assets","2012-02-06","2012-02-06","2012-02-06","USD","15449.94"
"Liquid assets","2012-02-07","2012-02-07","2012-02-07","USD","15449.94"
"Liquid assets","2012-02-08","2012-02-08","2012-02-08","USD","15449.94"
"Liquid assets","2012-02-09","2012-02-09","2012-02-09","USD","15384.94"
"Liquid assets","2012-02-10","2012-02-10","2012-02-10","USD","15384.94"
"Liquid assets","2012-02-11","2012-02-11","2012-02-11","USD","14658.98"
